,name,image
40,Australian Kelpie,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Hilu_the_Australian_Kelpie_dog.jpg/400px-Hilu_the_Australian_Kelpie_dog.jpg
41,Australian Shepherd,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Redtriaussie01.jpg/400px-Redtriaussie01.jpg
42,Australian Stumpy Tail Cattle Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Australian_Stumpy_Tail_Cattle_Dog.jpg/400px-Australian_Stumpy_Tail_Cattle_Dog.jpg
43,Australian Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Australian_Terrier_002_U.jpg/400px-Australian_Terrier_002_U.jpg
44,Austrian Black and Tan Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Brandlbracke.JPG/400px-Brandlbracke.JPG
45,Austrian Pinscher,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pinczer_austiacki_678.jpg/400px-Pinczer_austiacki_678.jpg
46,Azawakh,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Goumsao_De_Nulle_Part_Ailleurs_2014.jpg/400px-Goumsao_De_Nulle_Part_Ailleurs_2014.jpg
47,Bakharwal,https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png
48,Barbado da Terceira,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Barbado_da_Terceira_%28young_female%29.jpg/400px-Barbado_da_Terceira_%28young_female%29.jpg
49,Barbet,https://upload.wikimedia.org/wikipedia/commons/c/cf/Chien_de_race_Barbet.jpg
50,Basenji,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Basenji_600.jpg/400px-Basenji_600.jpg
51,Basque Shepherd Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Pastor_vasco_m_14months_loby_3018.jpg/400px-Pastor_vasco_m_14months_loby_3018.jpg
52,Basset Artésien Normand,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Grupp_6_BASSET_ART%C3%89SIEN_NORMAND%2C_Skogvaktarens_Queen_Sally_%2824180074612%29.jpg/400px-Grupp_6_BASSET_ART%C3%89SIEN_NORMAND%2C_Skogvaktarens_Queen_Sally_%2824180074612%29.jpg
53,Basset Bleu de Gascogne,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Basset_bleu_de_Gascogne.jpg/400px-Basset_bleu_de_Gascogne.jpg
54,Basset Fauve de Bretagne,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Basset_Fauve_de_Bretagne_600.jpg/400px-Basset_Fauve_de_Bretagne_600.jpg
55,Basset Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Basset%2C_Tallinn_4.JPG/400px-Basset%2C_Tallinn_4.JPG
56,Bavarian Mountain Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Zoran_Spod_Ruskiej_Granicy_the_Bavarian_Mountain_Hound.jpg/400px-Zoran_Spod_Ruskiej_Granicy_the_Bavarian_Mountain_Hound.jpg
57,Beagle,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Beagle_600.jpg/400px-Beagle_600.jpg
58,Beagle-Harrier,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Beagle_harrier.JPG/400px-Beagle_harrier.JPG
59,Bearded Collie,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Bearded_Collie_600.jpg/400px-Bearded_Collie_600.jpg
60,Beauceron,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Owczarek_francuski_beauceron_009pl.jpg/400px-Owczarek_francuski_beauceron_009pl.jpg
61,Bedlington Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Bedlington_Terriers.jpg/400px-Bedlington_Terriers.jpg
